"filename", "language", "Vue", "JavaScript", "XML", "comment", "blank", "total"
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\App.vue", "Vue", 231, 0, 0, 0, 33, 264
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\assets\logo.svg", "XML", 0, 0, 1, 0, 1, 2
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\components\Login.vue", "Vue", 235, 0, 0, 13, 14, 262
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\components\breadcrumbs.vue", "Vue", 47, 0, 0, 3, 4, 54
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\components\leftSide.vue", "Vue", 517, 0, 0, 9, 24, 550
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\main.js", "JavaScript", 0, 35, 0, 1, 6, 42
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\plugins\global.js", "JavaScript", 0, 20, 0, 15, 2, 37
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\plugins\vuetify.js", "JavaScript", 0, 5, 0, 0, 3, 8
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\router\index.js", "JavaScript", 0, 220, 0, 0, 5, 225
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\store\index.js", "JavaScript", 0, 13, 0, 0, 3, 16
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\admin_main.vue", "Vue", 120, 0, 0, 0, 16, 136
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\change_password.vue", "Vue", 67, 0, 0, 0, 8, 75
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\course_list.vue", "Vue", 488, 0, 0, 6, 16, 510
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\main_plot.vue", "Vue", 128, 0, 0, 0, 16, 144
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\openCourse_list.vue", "Vue", 697, 0, 0, 6, 16, 719
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\open_CourseAdmin.vue", "Vue", 469, 0, 0, 6, 19, 494
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\open_Courses.vue", "Vue", 469, 0, 0, 6, 19, 494
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\open_CoursesTea.vue", "Vue", 469, 0, 0, 6, 19, 494
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\other_plot.vue", "Vue", 134, 0, 0, 0, 16, 150
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\stu_check_grade.vue", "Vue", 279, 0, 0, 6, 10, 295
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\stu_grade_ana.vue", "Vue", 347, 0, 0, 8, 15, 370
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\student_Grade_In.vue", "Vue", 565, 0, 0, 15, 21, 601
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\student_Grade_Info.vue", "Vue", 296, 0, 0, 6, 24, 326
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\student_Info.vue", "Vue", 147, 0, 0, 0, 26, 173
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\student_list.vue", "Vue", 708, 0, 0, 6, 17, 731
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\student_location_analysis.vue", "Vue", 514, 0, 0, 8, 14, 536
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\teacher_Info.vue", "Vue", 100, 0, 0, 0, 15, 115
"e:\JavaWorkSpace\grademanager\grade_frontend-main\src\views\teacher_list.vue", "Vue", 522, 0, 0, 6, 18, 546
"Total", "-", 7549, 293, 1, 126, 400, 8369